Total_Registered,Democratic,Republican,American_Independent,Green,Libertarian,Peace_and_Freedom,Other,No_Party_Preference,county,district,district_type,date
105208.0,57328.0,25122.0,2529.0,591.0,356.0,698.0,180.0,18404.0,Sacramento,County Supervisorial 2,County Supervisorial,2011-02-10
133082.0,57590.0,47903.0,3377.0,922.0,695.0,389.0,255.0,21951.0,Sacramento,County Supervisorial 3,County Supervisorial,2011-02-10
139525.0,46361.0,61105.0,4200.0,713.0,852.0,363.0,294.0,25637.0,Sacramento,County Supervisorial 4,County Supervisorial,2011-02-10
167715.0,71748.0,58910.0,4492.0,653.0,754.0,566.0,289.0,30303.0,Sacramento,County Supervisorial 5,County Supervisorial,2011-02-10
345375.0,130491.0,138416.0,9727.0,1623.0,1799.0,1000.0,664.0,61655.0,Sacramento,US Congressional 3,US Congressional,2011-02-10
17014.0,5127.0,7964.0,537.0,90.0,103.0,36.0,56.0,3101.0,Sacramento,US Congressional 4,US Congressional,2011-02-10
311451.0,160210.0,79385.0,7848.0,2430.0,1464.0,1701.0,570.0,57843.0,Sacramento,US Congressional 5,US Congressional,2011-02-10
1458.0,569.0,544.0,48.0,8.0,15.0,3.0,4.0,267.0,Sacramento,US Congressional 10,US Congressional,2011-02-10
227737.0,82217.0,96297.0,6097.0,1032.0,1192.0,549.0,448.0,39905.0,Sacramento,State Senate 1,State Senate,2011-02-10
32833.0,15191.0,9738.0,884.0,96.0,114.0,68.0,52.0,6690.0,Sacramento,State Senate 5,State Senate,2011-02-10
414728.0,198989.0,120274.0,11179.0,3023.0,2075.0,2123.0,794.0,76271.0,Sacramento,State Senate 6,State Senate,2011-02-10
39815.0,14920.0,14945.0,1335.0,197.0,241.0,172.0,89.0,7916.0,Sacramento,State Assembly 4,State Assembly,2011-02-10
240946.0,93144.0,94325.0,6767.0,1314.0,1298.0,683.0,500.0,42915.0,Sacramento,State Assembly 5,State Assembly,2011-02-10
188519.0,100557.0,43476.0,4654.0,1785.0,915.0,1228.0,353.0,35551.0,Sacramento,State Assembly 9,State Assembly,2011-02-10
145334.0,64161.0,50111.0,3684.0,663.0,685.0,481.0,259.0,25290.0,Sacramento,State Assembly 10,State Assembly,2011-02-10
60684.0,23615.0,23452.0,1720.0,192.0,242.0,176.0,93.0,11194.0,Sacramento,State Assembly 15,State Assembly,2011-02-10
675298.0,296397.0,226309.0,18160.0,4151.0,3381.0,2740.0,1294.0,122866.0,Sacramento,State Board of Equalization 2,State Board of Equalization,2011-02-10
42524.0,15154.0,17811.0,1427.0,253.0,268.0,175.0,100.0,7336.0,Sacramento,Citrus Heights,City,2011-02-10
73340.0,32110.0,24616.0,1984.0,247.0,270.0,182.0,112.0,13819.0,Sacramento,Elk Grove,City,2011-02-10
34607.0,10402.0,15955.0,958.0,121.0,201.0,40.0,50.0,6880.0,Sacramento,Folsom,City,2011-02-10
9654.0,3548.0,3925.0,337.0,27.0,53.0,58.0,11.0,1695.0,Sacramento,Galt,City,2011-02-10
369.0,193.0,82.0,13.0,1.0,3.0,2.0,1.0,74.0,Sacramento,Isleton,City,2011-02-10
